           1 - subshell number
           1 - subshell index
   K (1s1/2) - subshell label
  3.4565E+04 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
         13         14       4.96628E+03  3.27573E-03
         13         17       5.01045E+03  7.08574E-06
         13         18       5.02171E+03  9.11071E-05
         13         19       5.02310E+03  1.21481E-04
         14         14       4.96834E+03  1.61273E-04
         14         17       5.01251E+03  9.24532E-06
         14         18       5.02377E+03  1.42790E-04
         14         19       5.02516E+03  1.43812E-05
         17         17       5.05668E+03  1.05031E-06
         17         18       5.06794E+03  1.15534E-05
         17         19       5.06933E+03  1.05031E-06
         18         18       5.07920E+03  9.11085E-06
         18         19       5.08059E+03  2.73341E-05
 
           4 - subshell number
           4 - subshell index
   L3(2p3/2) - subshell label
  4.7873E+03 - subshell binding energy (eV)
           4 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
          5          0       3.65270E+03  7.27630E-03
          6          0       3.78523E+03  4.01710E-05
          7          0       3.84814E+03  3.74000E-05
          8          0       4.08379E+03  7.43320E-03
          9          0       4.09718E+03  6.58790E-02
         10          0       4.56633E+03  6.41050E-04
         11          0       4.61401E+03  3.53540E-06
         12          0       4.62672E+03  3.39230E-06
         13          0       4.70486E+03  1.08100E-03
         14          0       4.70692E+03  9.63999E-03
         17          0       4.75109E+03  9.02559E-05
         18          0       4.76235E+03  3.99850E-07
         19          0       4.76374E+03  3.69190E-07
          5          5       2.53070E+03  1.38459E-03
          5          6       2.66323E+03  9.64060E-04
          5          7       2.72614E+03  2.96214E-02
          5          8       2.96179E+03  2.89018E-03
          5          9       2.97518E+03  3.27309E-03
          5         10       3.44433E+03  4.74737E-04
          5         11       3.49201E+03  1.58591E-04
          5         12       3.50472E+03  4.05462E-03
          5         13       3.58286E+03  2.44153E-04
          5         14       3.58492E+03  2.55628E-04
          5         17       3.62909E+03  6.46908E-05
          5         18       3.64035E+03  1.56507E-05
          5         19       3.64174E+03  3.74579E-04
          6          6       2.79576E+03  3.16145E-04
          6          7       2.85867E+03  4.91920E-02
          6          8       3.09432E+03  3.16246E-03
          6          9       3.10771E+03  2.84558E-02
